MSOA code,low,mid,high
E02001308,140000 ,165000 ,243000 
E02001309,134250 ,210000 ,263500 
E02001310,133500 ,182500 ,196250 
E02001311,184963 ,282000 ,300000 
E02001312,122500 ,165000 ,201500 
E02001313,145000 ,158000 ,180000 
E02001314,200975 ,255000 ,292500 
E02001315,189975 ,230000 ,267500 
E02001316,80875 ,103500 ,125625 
E02001317,194750 ,237000 ,245000 
E02001318,148250 ,188000 ,219000 
E02001319,90000 ,136500 ,198000 
E02001320,189000 ,205000 ,221438 
E02001321,195000 ,225000 ,260000 
E02001322,163000 ,215000 ,287500 
E02001323,168000 ,213000 ,315000 
E02001324,120000 ,150000 ,180000 
E02001325,187488 ,255000 ,286250 
E02001326,157000 ,206000 ,252250 
E02005176,133625 ,182000 ,211250 
E02005177,80750 ,162500 ,187500 
E02005178,55250 ,66250 ,74625 
E02005179,111000 ,168000 ,196500 
E02005180,189500 ,238750 ,270625 
E02005181,115000 ,137500 ,139000 
E02005182,61000 ,115750 ,160000 
E02005183,185000 ,216000 ,292499 
E02005184,175000 ,230000 ,298750 
E02005185,70750 ,117500 ,160000 
E02005186,222250 ,247500 ,275875 
E02006881,127500 ,172000 ,225000 
E02005189,179000 ,188250 ,199996 
E02005190,209375 ,292500 ,412250 
E02005191,210000 ,240000 ,270000 
E02005192,251750 ,311250 ,362500 
E02005193,194498 ,232000 ,322778 
E02005194,130750 ,204475 ,273453 
E02005195,237250 ,299950 ,387500 
E02005196,186000 ,242000 ,310000 
E02005197,195750 ,220500 ,250750 
E02005198,185000 ,234000 ,340000 
E02005199,231500 ,323750 ,418124 
E02005200,147500 ,220000 ,292500 
E02005201,171250 ,232500 ,305000 
E02005202,187000 ,280000 ,327000 
E02005203,275125 ,395000 ,510000 
E02005204,197000 ,258725 ,355000 
E02005205,191750 ,220000 ,292000 
E02005206,146500 ,159500 ,191500 
E02005207,196750 ,257475 ,355000 
E02005208,200000 ,240000 ,339950 
E02005209,164750 ,189250 ,267375 
E02005210,252375 ,302000 ,412125 
E02005211,271250 ,348500 ,467500 
E02005212,110000 ,200000 ,290000 
E02005213,158000 ,180000 ,209950 
E02005214,187750 ,198500 ,216875 
E02005215,75000 ,115000 ,185000 
E02005216,165750 ,196225 ,256500 
E02005217,71063 ,74625 ,75000 
E02005218,111500 ,123000 ,162500 
E02005219,139000 ,187500 ,224000 
E02005220,159000 ,229950 ,269950 
E02005221,203750 ,252500 ,350000 
E02005222,306000 ,380000 ,485000 
E02005223,274000 ,341250 ,426250 
E02005224,180000 ,232500 ,275000 
E02005225,220750 ,278750 ,330375 
E02005226,94500 ,118500 ,151250 
E02005228,100000 ,118000 ,138500 
E02005229,103000 ,120000 ,161500 
E02005230,156500 ,181000 ,188500 
E02005231,147375 ,182500 ,208463 
E02005233,225750 ,289000 ,357500 
E02005234,200000 ,240000 ,395000 
E02005235,140213 ,163000 ,180000 
E02005236,165000 ,218750 ,260000 
E02005237,249988 ,326500 ,401250 
E02005238,164000 ,197500 ,240000 
E02005239,190000 ,260054 ,347500 
E02006871,185000 ,219000 ,230000 
E02005240,166000 ,255000 ,310000 
E02005241,101875 ,159500 ,227500 
E02005242,138000 ,158000 ,239950 
E02005243,125000 ,155750 ,188125 
E02005244,103500 ,124500 ,144988 
E02005245,190000 ,235000 ,305000 
E02005246,108250 ,118500 ,176313 
E02005247,229375 ,267500 ,371250 
E02005248,90000 ,90000 ,90000 
E02005249,58800 ,63850 ,91250 
E02005250,77000 ,115000 ,220000 
E02005251,136250 ,173250 ,192750 
E02005252,158746 ,177500 ,250000 
E02005253,240000 ,330000 ,390000 
E02005254,278000 ,308000 ,435000 
E02005255,202500 ,270000 ,305750 
E02005256,204500 ,256000 ,323750 
E02005257,149000 ,205000 ,219000 
E02005258,208500 ,237500 ,306725 
E02005259,160375 ,199975 ,225000 
E02005260,178000 ,190000 ,220000 
E02005261,138750 ,173750 ,227500 
E02005262,207250 ,237750 ,290000 
E02005263,80000 ,107500 ,135500 
E02005264,140000 ,147000 ,168000 
E02005265,160675 ,189250 ,218750 
E02005266,97500 ,105000 ,130000 
